"strategy", "loss", "accuracy"

"NaiveFedFa", 1.2884006596900321, 52.97157622739018
"NaiveFedFa", 1.2233332975490674, 55.29715762273902
"NaiveFedFa", 1.179818354748391, 55.21102497846684
"NaiveFedFa", 1.1852997799177427, 57.10594315245478
"NaiveFedFa", 1.1494977152025379, 58.22566752799311
"NaiveFedFa", 1.1659968994759224, 56.933677863910425
"NaiveFedFa", 1.138876484858023, 59.60378983634798
"NaiveFedFa", 1.0966854143787075, 61.843238587424636
"NaiveFedFa", 1.0178930711101841, 65.54694229112833
"NaiveFedFa", 1.0277036235139176, 65.2885443583118

"SampleSizeAwareFedFA", 1.4115732006124548, 44.87510766580534
"SampleSizeAwareFedFA", 1.3948768409522805, 45.736434108527135
"SampleSizeAwareFedFA", 1.3775647862537488, 47.286821705426355
"SampleSizeAwareFedFA", 1.1417131987777915, 59.77605512489234
"SampleSizeAwareFedFA", 1.1339375666669897, 60.03445305770887
"SampleSizeAwareFedFA", 1.140663519098952, 59.17312661498708
"SampleSizeAwareFedFA", 1.1609085927138458, 59.345391903531436
"SampleSizeAwareFedFA", 1.098918326803156, 62.18776916451335
"SampleSizeAwareFedFA", 1.0207154702495884, 65.54694229112833
"SampleSizeAwareFedFA", 1.0241422443776518, 64.42721791559

"TimestampSizeAwareFedFA", 1.360844691057463, 47.80361757105943
"TimestampSizeAwareFedFA", 1.221154953982379, 56.07235142118863
"TimestampSizeAwareFedFA", 1.1140703526703086, 59.17312661498708
"TimestampSizeAwareFedFA", 1.1430136883581006, 57.88113695090439
"TimestampSizeAwareFedFA", 1.191033432612548, 55.03875968992248
"TimestampSizeAwareFedFA", 1.162100239379986, 58.656330749354005
"TimestampSizeAwareFedFA", 1.0666015260928385, 64.94401378122308
"TimestampSizeAwareFedFA", 1.0199096073975433, 65.11627906976744
"TimestampSizeAwareFedFA", 1.0660148561000824, 63.39362618432386
"TimestampSizeAwareFedFA", 1.0200156843340076, 65.11627906976744

"DataQualityAwareFedFA", 1.424591116003088, 48.06201550387597
"DataQualityAwareFedFA", 1.1318419849550403, 60.46511627906977
"DataQualityAwareFedFA", 1.0753040684236062, 62.10163652024117
"DataQualityAwareFedFA", 1.1155247108356372, 61.32644272179156
"DataQualityAwareFedFA", 1.0170316486745268, 65.7192075796727
"DataQualityAwareFedFA", 1.1001727709899078, 60.551248923341944
"DataQualityAwareFedFA", 0.9775462601635907, 65.97760551248923
"DataQualityAwareFedFA", 1.1042993068695068, 60.378983634797585
"DataQualityAwareFedFA", 1.0380790555799329, 62.96296296296296
"DataQualityAwareFedFA", 1.0075993086840656, 64.59948320413437